Purchase_Order_Description,Manufacturer,Part_Number,Vendor_Description
"2""x1 1/4"" CU Sweat Tee",NIBCO,CTKKH,2X2X1-1/4 WROT CXCXC TEE
"2""x3/4"" CU Sweat Fitting Reducer",NIBCO,CFRKF,2X3/4 WROT FTGXC RED
"3/4"" CU Sweat Male Adapter",NIBCO,CMAF,3/4 WROT CXM ADPT
"3/4"" Milwaukee BA100H Ball Valve",MILWAUKEE VALVE,MBA100HF,*NP 3/4 BRZ 600# THRD X MHT FP BV
WERLA-A510000 ANCHOR REUSEABLE CONCRETE 3/4IN,WERNER CO,A510000,ANCHOR REUSEABLE CONCRETE  3/4IN
"6"" Milwaukee ML334E",MILWAUKEE VALVE,ML334E,ML334E 6 DI EPDM BFV W/GO
"4""x3"" Std. Wt. CS BW Eccentric Reducer",CS WELD FITTINGS,,4X3 STD ECC WELD REDUCER
"2 1/2"" Brass 125# Threaded Companion Flange - Nibco 775",NIBCO,775,775 2-1/2 THRD C 150 COMP FLG
"2 1/2"" 150# A307B Dbl. Sided Lug BFV Bolt Kit - Plated",FASTENERS,LBV25,"LBV-25 2-1/2"" BFV BOLT KIT"
"2 1/2"" Mueller 752 Wye Strainer",MUELLER STEAM SPECIALTIES,752N,"2-1/2"" 752N MUE WYE STRNR"
"2 1/2"" on 4"" FS 3M Soc O Let",ASC,,"2-1/2"" X 4-6"" FS 3M SOCK-OLET"
"2 1/2"" Std. Wt. CS 150# FF WN Flange",150# FLANGES,,2-1/2 150# F/F W/N FLANGE
"2 1/2""x1/8"" 150# Garlock 3000 Full Face Gasket",GARLOCK,,"2-1/2"" 150# FF 1/8 GAR 3000"
"2 1/2""x1/8"" 300# Garlock 3000 Full Face Gasket",GARLOCK,,"2-1/2"" 300# FF 1/8 GAR 3000"
"3/4""x6"" CS Nipple",ASC,,3/4X6 BLK STEEL NIP IMP
"3/4"" x Close CS Nipple",ASC,,SCI 3/4XCLOSE 40 NIPPLE BLACK
"4"" 150# A307B Dbl. Sided Lug BFV Bolt Kit - Plated",FASTENERS,LBV40,"LBV-40 4"" BFV BOLT KIT"
"10"" Milwaukee 1850 Silent Check Valve",MILWAUKEE VALVE,1850,1850 10 FLG 250# SILENT CHECK
"2 1/2"" Mueller 752 Wye Strainer",MUELLER STEAM SPECIALTIES,752,752 2-1/2 250# CI FLG STR
"3"" Mueller 752 Wye Strainer",MUELLER STEAM SPECIALTIES,752N,752-N 3 250 FLG STRAINER
"4"" X 3"" SOC-O-LET, 3M, A105",DOMESTIC MANUFACTURERS,SOLPNM,4 - 3 1/2 X 3 FS 3000# SOL
"3"" 150# WNRF, STD, A105",IMPORT MANUFACTURERS,GRFWNFM,3 CS 150# STD RF WN FLG
"4"" LR 90 ELBOW, 40S, BW, A234",IMPORT MANUFACTURERS,GW9P,4 CS STD WLD LR 90 ELL
"4"" 300# WNRF STD BW A105",IMPORT MANUFACTURERS,G300RFWNFP,4 CS 300# STD RF WN FLG
"3"" LR 90 ELBOW, 40S, BW A234",IMPORT MANUFACTURERS,GW9M,3 CS STD WLD LR 90 ELL
"3"" X 2"" THREAD-O-LET, 3M, A105",DOMESTIC MANUFACTURERS,TOLUPK,6 - 4 X 2 FS 3000# TOL
"1 1/4"" Sharkbite Cap",SHARKBITE,SUXL0435,LF 1-1/4 *SHARKB END CAP
"1 1/4"" CU Sweat Cap",NIBCO,CCAPH,1-1/4 WROT COP CAP 1-3/8 OD
"2"" XH CS 150# FF WN Flange",150# FLANGES,,"2"" XH CS 150# FF WN FLANGE"
"2"" XH CS 150# FF SO Flange",150# FLANGES,,2 150# F/F S/O FLANGE
"2"" XH CS 150# RF SO Flange",150# FLANGES,,2 150# R/F S/O FLANGE
"2"" Milwaukee F-2981-M Globe Valve",MILWAUKEE VALVE,F2981M,"2"" F2981M MILW GLOBE VALVE"
"1 1/4"" CU Sweat Tee",NIBCO,CTH,1-1/4 WROT CXCXC TEE 1-3/8 OD
"1 1/2"" CU Sweat Tee",NIBCO,CTJ,1-1/2 WROT CXCXC TEE 1-5/8 OD
"1 1/2""x1 1/4""x3/4"" CU Sweat Tee",NIBCO,CTJHF,1-1/2X1-1/4X3/4 WROT CXCXC TEE
"1 1/2""x3/4""x1 1/4"" CU Sweat Tee",NIBCO,CTJFH,1-1/2X3/4X1-1/4 WROT CXCXC TEE
"3/4""x1/2"" CU Sweat Fitting Reducer                (Line 4 & 5 Build 5ea 1 1/2""x1/2""x1 1/4"" CU Sweat Tee that is not manufactured)",NIBCO,CFRFD,3/4X1/2 WROT FTGXC RED
"2"" Galvanized 2 Hole Strap",EMPIRE INDUSTRIES,231G0200,"231G0200 2"" GALV 2H STRAP"
"3"" Galvanized 2 Hole Strap",EMPIRE INDUSTRIES,231G,231G 3 TWO HOLE PIPE STRAP
"1/2"" Plastic Tube Strap",SIOUX CHIEF,5592,559-2 1/2 TUBE CLAMP
"3/4"" Plastic Tube Strap",SIOUX CHIEF,5593,559-3 3/4 TUBE CLAMP
"1"" Plastic Tube Strap",SIOUX CHIEF,5594,559-4 1 TUBE CLAMP
3.5oz Formula 8 PTFE Pipe Thread Sealant,FORMULA 8,FORMULA,FORMULA 8 PTFE PIPE
"1/2"" Oxygen Rated Teflon Tape",NOT LISTED,,"1/2"" X 260 OXY RATED TEFLON"
"1/2"" Galvanized BMI 150# Square Head Plug",CHARMAN MANUFACTURING,,1/2 40 MS SQUARE PLUG GAL
"6""x1/8"" 150# Garlock 3505 Ring Gasket",GARLOCK,3505,"6"" X 1/8"" 150# 3505 RING GASK"
AB220 ZD,UNISTRUT,P1031ZD,"GOLD FLAT 4-HOLE PLATE TEE ""T"" STRUT FITTING YELLOW ZINC [25/BX]"
AB219 ZD,UNISTRUT,P1036ZD,"GOLD FLAT 3-HOLE ""L"" CORNER STRUT FITTING YELLOW ZINC [50/BX]"
"1/2""x1 1/2"" Cap Screw - Plated",BRIGHTON BEST,,"HEX HEAD BOLT 1/2""-13 X 1-1/2"" C/S CAP SCREW ZINC PLATED [HZ28150]"
"1/2""x1 1/4"" Cap Screw - Plated",BRIGHTON BEST,,"HEX HEAD TAP BOLT 1/2-13 X 1-1/4"" FULLY THREADED CAP SCREW ZINC"
"1/2"" Square Washer - ZD",UNISTRUT,P1064ZD,"GOLD 1/2"" SQUARE WASHER FOR STRUT CHANNEL YELLOW ZINC [100/BX]"
"1/2""x2"" Cap Screw - Plated",BRIGHTON BEST,,"HEX HEAD BOLT 1/2-13 X 2"" C/S CAP SCREW ZINC PLATED [350/250KEG]"
"1/2"" Strut Nut - Plated",SUPERSTRUT,AB1001/2EG,"SILVER EG 1/2"" SPRINGLESS STRUT CHANNEL NUT ZINC PLATED [100/BX]"
"1/2"" Blue Monster Teflon Tape",MILL-ROSE,M70885,1/2X1429 BLUE MONSTER TEF TAPE
8oz Blue Monster Pipe Thread Sealant,MILL-ROSE,M76005,1 PT BLUE MONSTER THRD CMPD W/ PTFE
35 3/8'' 14/18 tpi Bi-Metal Band Saw Blade,MILWAUKEE TOOL,48390529,18 TPI COMP B/SAW BLD 3PK
"10"" Husky HD2000 No Hub Coupling",ANACO,ANACO2017(12/BOX),10 HD2000 WHT HD NH CPLG
"6"" Husky HD2000 No Hub Coupling",ANACO,ANACO2014(15/BOX),6 HD2000 WHT HD NH CPLG
Tie Wire,GRIP-RITE,TW1612312,TIE WIRE 16.5 GA. STANDARD GAUGE BLACK 3.5 LB. PLAIN ROLL [20/BX]
"6"" Husky HD2000 Coupling",ANACO,ANACO2014(15/BOX),6 HD2000 WHT HD NH CPLG
"12"" Husky SD4000 Coupling",ANACO,ANACO4018(2/BOX),12 SD4000 ORNG HD NH CPLG
"6"" NHCI 1/16 Bend",AB&I FOUNDRY,AB&I00686,6 NO HUB 22
"1/2"" All Thread Rod - Plated",PRIMESOURCE,1210ZINC,1/2-13 X 10 FT EG THREADED ROD [PRICED PER HUNDRED FEET]
"3/4"" All Thread Rod - Plated",PRIMESOURCE,3410ZINC,3/4-10 X 10 FT EG THREADED ROD [PRICED PER HUNDRED FEET]
"7/8"" All Thread Rod - Plated",PRIMESOURCE,7810ZINC,7/8-9 X 10 FT EG THREADED ROD [PRICED PER HUNDRED FEET]
"1/2"" Hex Nut - Plated",BRIGHTON BEST,"1/2""","CUT FLAT WASHER 1/2"" USS ZINC PLATED [50 LB.] [1310/KEG]"
"1/2"" Hex Nut - Plated",BRIGHTON BEST,45293,FINISH HEX NUT 1/2-13 ZINC PLATED [1000/KEG] [BRIGHTON BEST 319125]
"1/2"" Cut Washer - Plated",BRIGHTON BEST,"1/2""","CUT FLAT WASHER 1/2"" USS ZINC PLATED [50 LB.] [1310/KEG]"
"1/2"" Cut Washer - Plated",BRIGHTON BEST,45293,FINISH HEX NUT 1/2-13 ZINC PLATED [1000/KEG] [BRIGHTON BEST 319125]
"3/4"" Hex Nut - Plated",BRIGHTON BEST,45355,FINISH HEX NUT 3/4-10 ZINC PLATED [400/KEG] [BRIGHTON BEST 319200]
"7/8"" Hex Nut - Plated",BRIGHTON BEST,45481,FINISH HEX NUT 7/8-9 ZINC PLATED [250/KEG] [BRIGHTON BEST 319225-BR]
"3/4"" Cut Washer - Plated",BRIGHTON BEST,"3/4""","CUT FLAT WASHER 3/4"" USS ZINC PLATED [50 LB.] [445/KEG]"
"5/8"" Cut Washer - Plated",BRIGHTON BEST,"5/8""","CUT FLAT WASHER 5/8"" USS ZINC PLATED [50 LB.] [640/KEG]"
"12"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 12 ADJ CLEVIS HANGER
"3"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 3 ADJ CLEVIS HANGER
"4"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 4 ADJ CLEVIS HANGER
"6"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 6 ADJ CLEVIS HANGER
"8"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 8 ADJ CLEVIS HANGER
"2"" XH CS 150# FF WN Flange",CS WELD FITTINGS,,2 150XS F/F W/N FLANGE
"2"" FS 3M SW Tee",ASC,,2 3M FS SW TEE IMP
"2"" FS 3M SW Coupling",ASC,,2 3M FS SW CPLG IMP
"2"" FS 3M SW 90",ASC,,2 3M FS SW 90 ELL IMP
"2"" Std. Wt. CS Gr B Pipe - MTR Required",PIPE,,2 STD BLK BEV A53B ERW PIPE
"2"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 2 ADJ CLEVIS HANGER
"6""x1/8"" 150# Garlock 3505 Ring Gasket",GARLOCK,3505,"6"" X 1/8"" 150# 3505 RING GASK"
"6"" 150# A307B Dbl. Sided Lug BFV Bolt Kit - Plated",FASTENERS,LBV60,"LBV-60 6"" BFV BOLT KIT"
"6"" 150# A307B Bolt Kit - Plated - Line 1-3 Tag & Bag: FWP-058",FASTENERS,,6 150 PLATED BOLT KIT
"2"" FS 3M SW Coupling",ASC,,2 3M FS SW CPLG IMP
"2"" FS 3M SW Cap - Line 4-5 Tag & Bag: FWP-036",ASC,,2 3M FS SW CAP IMP
"3/4"" CU Sweat 90",NIBCO,C9F,3/4 WROT CXC 90 ELL 7/8 OD
"3/4"" CU Sweat Street 90",NIBCO,CS9F,3/4 WROT FTGXC ST 90 ELL 7/8 OD
"3/4"" CU Sweat 45",NIBCO,C4F,3/4 WROT CXC 45 ELL 7/8 OD
"3/4"" CU Sweat Street 45",NIBCO,CS4F,3/4 WROT FTGXC ST 45 ELL 7/8 OD
"3/4"" Coupling w/ Stop",NIBCO,CCF,3/4 WROT CXC COUP 7/8 OD
"1"" CU Sweat 90",NIBCO,C9G,1 WROT CXC 90 ELL 1-1/8 OD
"1"" CU Sweat Street 90",NIBCO,CS9G,1 WROT FTGXC ST 90 ELL 1-1/8 OD
"1"" CU Sweat 45",NIBCO,C4G,1 WROT CXC 45 ELL 1-1/8 OD
"1"" CU Sweat Street 45",NIBCO,CS4G,1 WROT FTGXC ST 45 ELL 1-1/8 OD
"1"" CU Sweat Coupling w/ Stop",NIBCO,CCG,1 WROT CXC COUP 1-1/8 OD
"PPP PT-6-625 - RECESSED CABINET MANIFOLD W/ 5/8"" OD ADAPTERS 120V - Flush Mount",SPECIFICATION SALES INC,PPPPT66256OPENING,PPP PT-6-625 6-OPENING
PPP D-1416SS Access Door,SPECIFICATION SALES INC,PPPD1416SS,PPP D-1416SS
PPP D-1416SS Access Door,SPECIFICATION SALES INC,PPPD1416SS,PPP D-1416SS
PPP D-1416SS Access Door,SPECIFICATION SALES INC,PPPD1416SS,PPP D-1416SS
PPP D-1416SS Access Door,SPECIFICATION SALES INC,PPPD1416SS,PPP D-1416SS
PPP D-1416SS Access Door,SPECIFICATION SALES INC,PPPD1416SS,PPP D-1416SS
PPP D-1416SS Access Door,SPECIFICATION SALES INC,PPPD1416SS,PPP D-1416SS
PPP D-1416SS Access Door,SPECIFICATION SALES INC,PPPD1416SS,PPP D-1416SS
PPP D-1416SS Access Door,SPECIFICATION SALES INC,PPPD1416SS,PPP D-1416SS
PPP D-1416SS Access Door,SPECIFICATION SALES INC,PPPD1416SS,PPP D-1416SS
PPP D-1416SS Access Door,SPECIFICATION SALES INC,PPPD1416SS,PPP D-1416SS
PPP D-1416SS Access Door,SPECIFICATION SALES INC,PPPD1416SS,PPP D-1416SS
PPP D-1416SS Access Door,SPECIFICATION SALES INC,PPPD1416SS,PPP D-1416SS
"PPP PT-8-625 -RECESSED CABINET MANIFOLD W/ 5/8"" OD ADAPTERS 120V - Flush Mount",SPECIFICATION SALES INC,PPPPT86258OPENING,PPP PT-8-625 8-OPENING
"PPP PT-1320-625 -RECESSED CABINET MANIFOLD W/ 5/8"" OD ADAPTERS 120V - Flush Mount",SPECIFICATION SALES INC,PPPPT13206255/8INOD,PPP PT-1320-625 5/8IN OD
PPP D-1620SS Access Door,SPECIFICATION SALES INC,PPPD1620SSACCESSDOORFOR,PPP D-1620SS ACCESS DOOR FOR 
"PPP PT-12-625 -RECESSED CABINET MANIFOLD W/ 5/8"" OD ADAPTERS 120V - Flush Mount",SPECIFICATION SALES INC,PPPPT1262512OPENING,PPP PT-12-625 12-OPENING
"PPP PT-12-625 -RECESSED CABINET MANIFOLD W/ 5/8"" OD ADAPTERS 120V - Flush Mount",SPECIFICATION SALES INC,PPPPT1262512OPENING,PPP PT-12-625 12-OPENING
"2 1/2"" CS 150# RF Blind Flange",150# FLANGES,,2-1/2 150 F&D RF BLIND FLANGE
"2 1/2"" 150# A307B Dbl. Sided Lug BFV Bolt Kit - Plated",FASTENERS,LBV25,"LBV-25 2-1/2"" BFV BOLT KIT"
"1/2"" ProPex Ring w/ Stop",UPONOR INC,UPOQ4690512,1/2 PROPEX RING W/STOP BG=50
"1/2"" EP ProPex Coupling",UPONOR INC,UPOQ4775050,1/2 PROPEX CPLG BG=25
"5/8"" O.D. Compression Cap",MIDLAND INDUSTRIES,MIDLAND70008110OLD#18050LF,5/8 COMPRESSION CAP
"S.S. ProPex Compression Insert for 1/2"" Pex Pipe",UPONOR INC,UPOF5400500,1/2 AQUAPEX SS INSERT BG=10
"2"" Anvil Fig. 260 Clevis Hanger - Plated",ASC,260,260 2 ZP STL ADJ CLEVIS HGR
"3"" Anvil Fig. 260 Clevis Hanger - Plated",ASC,260,260 3 ZP STL ADJ CLEVIS HGR
"4"" Anvil Fig. 260 Clevis Hanger - Plated",ASC,260,260 4 ZP STL ADJ CLEVIS HGR
"3/8"" All Thread Rod - Plated",FASTENERS,,3/8 10' PLTD ALL THREAD ROD
"5/8"" Hex Nut - Plated",FASTENERS,,5/8-11 STD HEX NUTS Z/P
"6"" Empire Fig. 11F Flat Top Clevis Hanger - EG",EMPIRE INDUSTRIES,11FG,"6"" 11FG 0600 FLAT TOP CLEVIS"
"4"" Empire Fig. 11F Flat Top Clevis Hanger - EG",EMPIRE INDUSTRIES,11FG0400,"4"" 11FG0400 FLAT TOP CLEVIS"
"3"" Empire Fig. 11F Flat Top Clevis Hanger - EG",EMPIRE INDUSTRIES,11FG0300,"3"" 11FG0300 FLAT TOP CLEVIS"
P1000 ZD - 10',UNISTRUT,P100010ZD,"GOLD SOLID 1-5/8"" X 1-5/8"" X 10' SINGLE STRUT 12 GAUGE CHANNEL ZD"
"3"" Sch. 80 PVC 150# Van Stone Flange",PROFLO,PFP80VSSFNM,3 PVC S80 VAN STONE SOC FLG
"3"" Sch. 80 PVC Pipe",CHARLOTTE PIPE & FOUNDRY,P80PM,3 X 20 FT PVC S80 PE PIPE
"2""x1"" EP ProPex Tee",UPONOR INC,UPOQ4752210,2INX2INX1IN PROPEX TEE BG=1
"3/4"" LF Brass ProPex CU Sweat Adapter LF4517575",UPONOR INC,UPOLF4517575,3/4 PEX/CU LF FM SWT ADAPT
"3/4"" EP ProPex 90",UPONOR INC,UPOQ4760750,3/4 PROPEX 90 BG=25
"3/4"" ProPex Ring w/ Stop",UPONOR INC,UPOQ4690756,3/4 PROPEX RING W/STOP BG=50
"1"" EP ProPex Ring w/ Stop",UPONOR INC,UPOQ4691000,1IN PROPEX RING W/STOP BG=50
"4"" Milwaukee ML233E Butterfly Valve",MILWAUKEE VALVE,ML233E,ML233E 4 BFLY VLV BRZ DDE
"6""x1/8"" 150# Garlock 3000 Ring Gasket",GARLOCK,,"6"" X 1/8"" 300# GAR 3000 RING"
"6"" 300# A307B Dbl. Sided Lug BFV Bolt Kit - Plated",FASTENERS,A307B,"6"" 300# A307B DBL SIDED LUG"
"6"" 300# A307B Bolt Kit - Plated",FASTENERS,A307B,"6"" 300# A307B FLANGED BOLT KIT"
"4"" 150# A307B Dbl. Sided Lug BFV Bolt Kit - Plated",FASTENERS,LBV40,"LBV-40 4"" BFV BOLT KIT"
"4"" 150# A307B Bolt Kit - Plated",FASTENERS,,4 150 PLATED BOLT KIT
"3 1/2"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 3-1/2 ADJ CLEVIS HANGER
"4"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 4 ADJ CLEVIS HANGER
"5"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 5 ADJ CLEVIS HANGER
"6"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 6 ADJ CLEVIS HANGER
"8"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 8 ADJ CLEVIS HANGER
"10"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 10 ADJ CLEVIS HANGER
"12"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 12 ADJ CLEVIS HANGER
"16"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 16 ADJ CLEVIS HANGER
"20"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 20 ADJ CLEVIS HANGER
"2"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 2 ADJ CLEVIS HANGER
"2 1/2"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 2-1/2 ADJ CLEVIS HANGER
"3"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 3 ADJ CLEVIS HANGER
"5"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 5 ADJ CLEVIS HANGER
"6"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 6 ADJ CLEVIS HANGER
"8"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 8 ADJ CLEVIS HANGER
"10"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 10 ADJ CLEVIS HANGER
"12"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 12 ADJ CLEVIS HANGER
"14"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 14 ADJ CLEVIS HANGER
"24"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,260,260 24 ADJ CLEVIS HANGER
"7/8"" Dewalt DDI Deck Insert",DEWALT,PFM2511140,"7/8"" Q-DECK INSERT CAST-IN-PLACE DDI CONRETE INSERT 7/8"" HELICOPTER"
"1/2"" Sharkbite Cap",ELKHART PRODUCTS CORP,EPC10155500MUE633003,1/2CTS PUSH-ON CAP
"3/4"" Sharkbite Cap",ELKHART PRODUCTS CORP,EPC10155502MUE633004,3/4CTS PUSH-ON CAP
"1"" Sharkbite Cap",ELKHART PRODUCTS CORP,EPC10155504MUE633005,1CTS PUSH-ON CAP
"1/2""x1/4"" Brass 125# Bushing",ASC ENGINEERED SOLUTIONS,SCI4385002890LEG310474NL,1/2 X 1/4 BRASS BUSHING
"6"" NHCI 1/4 Bend",AB&I FOUNDRY,NHREG1/4BENDAB&I00198,6 NO HUB 90
"6"" NHCI 1/16 Bend",AB&I FOUNDRY,AB&I00686,6 NO HUB 22
16oz Blue Monster Non PTFE Pipe Thread Sealant,MIL-ROSE,BLUE,BLUE MONSTER NON PTFE PIPE
"1"" on 2 1/2"" FS 3M Thread O Let",ASC,,21/2-11/4X1 3M THRD UNIV ANVLT
"1"" Milwaukee BA475B",MILWAUKEE VALVE,BA475,BA475 1 BRS BALL
"1""x3"" CS Nipple",ASC,,1X3 BLK STEEL NIP IMP
"1"" BMI 150# Cap",ASC,,"1"" BLK MI CAP IMP"
"2""x12"" CS Nipple",ASC,,2X12 BLK STEEL NIP IMP
"2"" BMI 150# Cap",ASC,,"2"" BLK MI CAP IMP"
4 inch by 6 inch nipple-to the field,ASC,,4X6 BLK STEEL NIP IMP
4 inch 150Lb square plug blk-to the field,ASC,,4 150 SQUARE PLUG BLK
4 inch sch 40 blk pipe-to the shop A53 ERW,PIPE,,4 STD BLK BEV A53B ERW PIPE
"2"" ABS Spigot Urinal Adapter - Sioux Chief 868-9A",IPS CORPORATION,IPS65363SIOUX8689A,2 ABS URINAL ADAPTER-SPG
"2 1/2"" Std. Wt. CS 300# FF WN Flange",300# FLANGES,,"2-1/2"" 300# CS FF WN FLANGE"
"2"" ABS Square Head Clean Out Plug",IPEX USA LLC,CNPLS103052SCS=150CHAR,ABS-MALE PLUG-2IN
"4"" ABS Square Head Clean Out Plug",IPEX USA LLC,CNPLS103054SCS=30CHAR,ABS-MALE PLUG-4IN
"6"" ABS Square Head Clean Out Plug",IPEX USA LLC,CNPLS103057SCS=8CHAR02759,ABS-MALE PLUG-6IN
P1000 ZD 10',SUPERSTRUT,A120010GOLD,"SOLID 1-5/8"" X 1-5/8"" SINGLE STRUT 12GA 10' GOLD CHANNEL"
"6"" 150# A307B Dbl. Sided Lug BFV Bolt Kit - Plated",FASTENERS,LBV60,"LBV-60 6"" BFV BOLT KIT"
MASLO-8143D LOCK COMBINATION 4FT CABLE,MASLO,8143D,LOCK COMBINATION 4FT CABLE
"6"" CS 150# RF Blind Flange",150# FLANGES,,6 150 F&D RF BLIND FLANGE
"4"" CS 300# RF Blind Flange",300# FLANGES,,4 300 F&D RF BLIND FLG
"3/4""x3"" XH CS A106B Nipple",CHARMAN MANUFACTURING,,3/4X3 SCH80 BLK SMLS NIP
"3/4"" BMI 150# Square Head Plug",CHARMAN MANUFACTURING,,3/4 40 MS SQUARE PLUG BLK
"1/2"" Galvanized BMI 150# Sq. Head Plug",CHARMAN MANUFACTURING,,1/2 40 MS SQUARE PLUG GAL
"1 1/4"" Galvanized BMI 150# Sq. Head Plug",CHARMAN MANUFACTURING,,1-1/4 GALV MI PLUG IMP
"3"" Anvil CT-121 Riser Clamp",ASC,CT121,CT-121 3 CTS RISER CLAMP
"1 1/4"" Anvil CT-121 Riser Clamp",ASC,CT121,CT-121 1-1/4 CTS RISER CLAMP
"6"" Anvil Fig. 261 Riser Clamp - Plain",ASC,261,261 6 BLK RISER CLAMP
"6"" CU Sweat Companion Flange - Nibco 672",NIBCO,672,672 6 125/150 COMPANION FLANGE
"6""x1/8"" 150# Garlock 3000 Full Face Gasket",GARLOCK,,"6"" BLUE GARD 3000 FF 150#"
"6"" 150# A307B Bolt Kit - Plated",FASTENERS,,6 150 PLATED BOLT KIT
"1/2"" Milwaukee BA100H Ball Valve",MILWAUKEE VALVE,BA100H,BA100H 1/2 BZ HOSE END THD BV
"1/2""x20' AquaPex Pipe - White",UPONOR,F1930500,"F1930500 1/2"" X 20' AQUAPEX"
S-250-24 ZD,SUPERSTRUT,S25024,"GOLD 24"" SINGLE 1-5/8"" STRUT CHANNEL STAND-OFF BRACKET WELDED"
Dewalt Power Foam 08130N-PWR,DEWALT,08130NPWR,POWERFOAM 12 OZ. POLYURETHANE FOAM STRAW SEALANT 2-3 TIMES EXPANSION
"4""x3"" Reducing Fernco Coupling",FERNCO,105643,1056-43 4 X 3 CI/PL-CI/PL
"3"" Fernco Coupling",FERNCO,105633,"1056-33 3"" CI/PL-CI/PL"
"3"" Anvil Fig. 69 Loop Hanger - Galvanized",ASC,69,69 3 GALV ADJ SWIVEL HANGER
"3/8"" All Thread Rod - Plated - Line 1-5 Tag: Shawn R. Dewatering",FASTENERS,,3/8 10' PLTD ALL THREAD ROD
"2"" Galvanized 2 Hole Strap",EMPIRE INDUSTRIES,231G0200,"231G0200 2"" GALV 2H STRAP"
"3"" Galvanized 2 Hole Strap",EMPIRE INDUSTRIES,231G,231G 3 TWO HOLE PIPE STRAP
"4"" Galvanized 2 Hole Strap",EMPIRE INDUSTRIES,231G0400,"231G0400 2H GALV STRAP 4"""
"6"" Galvanized 2 Hole Strap",EMPIRE INDUSTRIES,231G0600,"231G0600 2H GALV STRAP 6"""
"8"" Galvanized 2 Hole Strap - Line 6-10 Tag: Shawn R. Straps",EMPIRE INDUSTRIES,9110HDZ0800,"9110HDZ0800 2H GLV STRAP 8"""
"3""x1/8"" 150# Garlock 3505 Ring Gasket",GARLOCK,3505,"3""X1/8"" 150# GARLOCK 3505 RING"
"3"" 150# A307B Bolt Kit - Plated",FASTENERS,,3 150 PLATED BOLT KIT
"3"" 150# A307B Dbl. Sided Lug BFV Bolt Kit - Plated",FASTENERS,LBV30,"LBV-30 3"" BFV BOLT KIT"
"6""x1/8"" 150# Garlock 3505 Ring Gasket",GARLOCK,3505,"6""X1/8"" 150# GARLOCK 3505 RING"
"6"" 150# A307B Bolt Kit - Plated",FASTENERS,,6 150 PLATED BOLT KIT
"6"" 150# A307B Dbl. Sided Lug BFV Bolt Kit - Plated - Line 11-16 Tag: Bill C.",FASTENERS,LBV60,"LBV-60 6"" BFV BOLT KIT"
"2 3/8"" 701 Strut Clamp - ZD",SUPERSTRUT,7022,"GOLD 2"" RIGID PIPE CLAMP STRUT TUBING STRAP   [50/BX]"
"3 3/8"" 701 Strut Clamp - ZD",SUPERSTRUT,70133/8,"GOLD 3-3/8"" OD PIPE CLAMP STRUT TUBING STRAP [25/BX]"
"6 3/8"" 701 Strut Clamp - ZD",SUPERSTRUT,70163/8,"GOLD 6-3/8"" OD PIPE CLAMP STRUT TUBING STRAP [10/BX]"
"3/4"" Type L CU Tube - 10' (Mueller)",GENERIC - COPPER TUBE,LHARDF10,3/4 X 10 L HARD COP TUBE
"3/4"" Type L CU Tube - 10' (Mueller)",GENERIC - COPPER TUBE,LHARDF10,3/4 X 10 L HARD COP TUBE
"3/4"" CU Sweat Female Adapter (Nibco)",NIBCO,CFAF,3/4 WROT CXF ADPT
"3/4"" CU Sweat Female Adapter (Nibco)",NIBCO,CFAF,3/4 WROT CXF ADPT
"3/4"" CU Sweat Female Adapter (Nibco)",NIBCO,CFAF,3/4 WROT CXF ADPT
"3/4"" CU Sweat Female Adapter (Nibco)",NIBCO,CFAF,3/4 WROT CXF ADPT
"3/4"" CU Sweat Male Adapter (Nibco)",NIBCO,CFAF,3/4 WROT CXF ADPT
"3/4"" CU Sweat Male Adapter (Nibco)",NIBCO,CFAF,3/4 WROT CXF ADPT
"3/4"" CU Sweat Male Adapter (Nibco)",NIBCO,CFAF,3/4 WROT CXF ADPT
